Song Name 	 Artist Name 	 Genres 	 Acousticness 	 Danceability 	 Energy 	Instrumentalness 	 Liveness 	 Speechiness 
Kiss And Tell	ROMderful	none 	0.0525	0.754	0.511	2.33e-06	0.0842	0.147	
Free As A Bird	ROMderful	none 	0.539	0.345	0.477	0.92	0.102	0.0397	
Compromise	Maydien	none 	0.248	0.695	0.58	0	0.101	0.375	
You Love Em	ROMderful	none 	0.189	0.77	0.516	0	0.0769	0.0748	
Body Cry	SLUMBERJACK	bass trap,deep australian indie,electronic trap,vapor twitch	0.0325	0.609	0.66	2.68e-05	0.118	0.0655	
The Others	SLUMBERJACK	bass trap,deep australian indie,electronic trap,vapor twitch	0.0185	0.428	0.912	0.0962	0.11	0.142	
Work It Girl	GEOTHEORY	vapor twitch	0.0182	0.736	0.749	0.000152	0.0767	0.59	
Earth	GEOTHEORY	vapor twitch	0.172	0.322	0.854	0.0939	0.0779	0.124	
Gypsy Woman	GEOTHEORY	vapor twitch	0.0973	0.732	0.705	0.38	0.107	0.0717	
Swimming - JNTHN STEIN Remix	Joe Hertz	deep indie r&b,indie r&b,tropical house,vapor soul,vapor twitch	0.443	0.392	0.597	4.64e-06	0.887	0.174	
Spliff Temple	Exmag	none 	0.0316	0.422	0.745	0.0408	0.64	0.194	
Master Control	JNTHN STEIN	electronic trap,vapor twitch	0.273	0.757	0.653	2.1e-06	0.0675	0.26	
Everything Is a Drug	JNTHN STEIN	electronic trap,vapor twitch	0.0364	0.476	0.666	0.231	0.282	0.0404	
Cmprssn	JNTHN STEIN	electronic trap,vapor twitch	0.000699	0.496	0.71	0.289	0.196	0.0486	
Count on Me - JNTHN STEIN Remix	Kilter	deep australian indie	0.672	0.729	0.546	0.0142	0.387	0.0691	
Time Piece	Exmag	none 	0.127	0.645	0.504	0.659	0.101	0.0459	
Ten Thousand Chains	Exmag	none 	0.0394	0.587	0.548	0.807	0.57	0.0347	
Gold (JNTHN STEIN Remix)	Cabu	none 	0.161	0.57	0.535	0.00168	0.08	0.054	
Intro	Brasstracks	vapor twitch	0.00645	0.535	0.538	0.762	0.0721	0.0572	
Say U Won't	Brasstracks	vapor twitch	0.00176	0.581	0.766	0.91	0.0842	0.154	
Good Love (feat. Jay Prince)	Brasstracks	vapor twitch	0.378	0.605	0.774	6.73e-06	0.0438	0.315	
Get Your Way (feat. Roses Gabor)	Brasstracks	vapor twitch	0.0102	0.793	0.726	0.00108	0.755	0.068	
Melanin Man (feat. Masego)	Brasstracks	vapor twitch	0.0104	0.514	0.686	0	0.273	0.207	
Telling the Truth (feat. Lido & Father Dude)	Brasstracks	vapor twitch	0.0336	0.685	0.602	1.92e-05	0.0899	0.201	
Hey! Love	The Delfonics	chicago soul,classic funk rock,disco,funk,funk rock,memphis soul,motown,quiet storm,soul,soul blues,southern soul	0.376	0.342	0.598	1.43e-05	0.178	0.0354	
Too Shy	Kajagoogoo	dance rock,new romantic,new wave,new wave pop,synthpop	0.101	0.714	0.709	9.38e-05	0.0786	0.0743	
At Night	Mr. Carmack	bass trap,chillhop,electronic trap,moombahton,vapor twitch	0.0545	0.79	0.561	0.00569	0.0922	0.257	
Ode to Doobie	Mr. Carmack	bass trap,chillhop,electronic trap,moombahton,vapor twitch	0.132	0.393	0.379	0.159	0.118	0.0661	
Sunset Park	Flamingosis	chillhop,future funk,vapor twitch,vaporwave	0.00368	0.562	0.698	0.67	0.365	0.0338	
Acres	Sam Gellaitry	chillhop,electronic trap,vapor soul,vapor twitch	0.402	0.271	0.441	0.306	0.103	0.0468	
SOMEBODY	IDK	deep underground hip hop,underground hip hop	0.46	0.734	0.899	0	0.169	0.302	
Finesse (Hey Baby)	Flamingosis	chillhop,future funk,vapor twitch,vaporwave	0.000547	0.519	0.76	0.0117	0.141	0.097	
Overexpressed	Birocratic	chillhop,future funk	0.00591	0.669	0.585	0.813	0.107	0.0697	
Shut Up And Groove	Masego	deep indie r&b,indie r&b,vapor twitch	0.0472	0.721	0.582	0.0008	0.132	0.38	
TrapScat (Get Loose)	Masego	deep indie r&b,indie r&b,vapor twitch	0.0309	0.559	0.493	0.788	0.0768	0.144	
Throwin' Shade	Masego	deep indie r&b,indie r&b,vapor twitch	0.0161	0.504	0.621	3.99e-06	0.078	0.36	
Sunday Vibes	Masego	deep indie r&b,indie r&b,vapor twitch	0.259	0.677	0.669	0.849	0.14	0.0632	
Down For You (feat. Alina Baraz)	Ta-ku	chillhop,deep australian indie,deep indie r&b,escape room,indie r&b,vapor soul,vapor twitch	0.47	0.525	0.45	0.000291	0.079	0.048	
Skyloft	PYRMDPLAZA	vapor twitch	0.0434	0.789	0.581	0.45	0.11	0.0504	
The Groove	Evil Needle	abstract beats,chillhop,vapor twitch,wonky	0.000106	0.66	0.751	0.882	0.0736	0.0474	
Kintsugi	DROELOE	bass trap,brostep,catstep,edm,electronic trap,tracestep,vapor soul,vapor twitch	0.00182	0.662	0.762	0.011	0.0578	0.083	
Make a Threat	Joe Ford	neurofunk	0.000645	0.631	0.907	0.363	0.114	0.279	
Spells (feat. Blake Skowron)	graves	bass trap,brostep,electro house,electronic trap,moombahton,vapor twitch	0.0364	0.566	0.963	0.00124	0.131	0.457	
Afterburner (Shake It Maschine Remix)	FVLCRVM	none 	0.00124	0.566	0.919	0.888	0.0696	0.107	
Bank Roll - FVLCRVM Remix	Feadz	destroy techno,filter house	0.00445	0.536	0.751	0.156	0.205	0.322	
The Moment	Joe Ford	neurofunk	0.0485	0.519	0.972	0.297	0.331	0.0936	
Horus	SLUMBERJACK	bass trap,deep australian indie,electronic trap,vapor twitch	0.0407	0.758	0.93	0.573	0.107	0.137	
So Nice	Alexander Lewis	bass trap,electronic trap,vapor twitch	0.282	0.637	0.857	0.124	0.252	0.499	
Venus	GEOTHEORY	vapor twitch	0.0947	0.736	0.599	0.759	0.113	0.166	
Sprung	Herzeloyde	vapor twitch	0.0288	0.704	0.974	0.135	0.0719	0.133	
Who Cares	JNTHN STEIN	electronic trap,vapor twitch	0.201	0.529	0.788	0.697	0.132	0.127	
Berlin I	JNTHN STEIN	electronic trap,vapor twitch	0.0222	0.665	0.724	0.752	0.114	0.078	
Money	Lido	electronic trap,norwegian hip hop,vapor twitch	0.00011	0.628	0.671	0.0984	0.0305	0.0381	
Brother's Keeper - Isqa Remix	Armanni Reign	none 	0.00265	0.558	0.953	0.00166	0.436	0.379	
Chasm	MYRNE	catstep,tracestep,vapor twitch	0.0377	0.684	0.993	0.596	0.0326	0.235	
Rackhead	MYRNE	catstep,tracestep,vapor twitch	0.11	0.674	0.995	0.0842	0.322	0.393	
Ceremony	Sam Gellaitry	chillhop,electronic trap,vapor soul,vapor twitch	0.253	0.458	0.789	0.388	0.112	0.143	
Kintsugi	DROELOE	bass trap,brostep,catstep,edm,electronic trap,tracestep,vapor soul,vapor twitch	0.00182	0.662	0.762	0.011	0.0578	0.083	
Powler	Bohren & Der Club Of Gore	ambient,dark jazz,drone,fourth world	0.788	0.286	0.0974	0.879	0.122	0.0348	
On Demon Wings	Bohren & Der Club Of Gore	ambient,dark jazz,drone,fourth world	0.814	0.28	0.0267	0.891	0.108	0.0346	
Midnight Walker	Bohren & Der Club Of Gore	ambient,dark jazz,drone,fourth world	0.862	0.267	0.0403	0.922	0.115	0.0335	
Street Tattoo	Bohren & Der Club Of Gore	ambient,dark jazz,drone,fourth world	0.928	0.308	0.0409	0.943	0.106	0.035	
Painless Steel	Bohren & Der Club Of Gore	ambient,dark jazz,drone,fourth world	0.914	0.0841	0.0783	0.884	0.0927	0.035	
Darkstalker	Bohren & Der Club Of Gore	ambient,dark jazz,drone,fourth world	0.917	0.184	0.0253	0.944	0.109	0.0315	
Nightwolf	Bohren & Der Club Of Gore	ambient,dark jazz,drone,fourth world	0.971	0.268	0.0334	0.937	0.179	0.0366	
Black City Skyline	Bohren & Der Club Of Gore	ambient,dark jazz,drone,fourth world	0.865	0.235	0.0818	0.927	0.162	0.0316	
Dead End Angels	Bohren & Der Club Of Gore	ambient,dark jazz,drone,fourth world	0.638	0.114	0.222	0.979	0.283	0.0878	
Tres Palabras (Three Words) - Instrumental	Charlie Haden	avant-garde jazz,bebop,contemporary jazz,contemporary post-bop,cool jazz,dark jazz,gypsy jazz,hard bop,italian jazz,jazz,jazz fusion,soul jazz,stride,vocal jazz	0.976	0.503	0.136	0.803	0.0939	0.0308	
Gumshoe Blues	Paul Pritchard	none 	0.823	0.594	0.186	0.55	0.107	0.0369	
Main Theme	Andrew Hale	none 	0.83	0.159	0.276	0.906	0.224	0.0303	
Chinatown	Nicholas Payton	bebop,contemporary jazz,contemporary post-bop,hard bop,indie jazz,jazz,jazz christmas,jazz funk	0.916	0.293	0.254	0.246	0.187	0.0295	
No Other Way	Mark Isham	scorecore,soundtrack	0.979	0.125	0.0696	0.897	0.0845	0.0487	
Red Arrow Inn	Mark Isham	scorecore,soundtrack	0.941	0.22	0.161	0.944	0.15	0.0357	
Karin	Bohren & Der Club Of Gore	ambient,dark jazz,drone,fourth world	0.899	0.554	0.0331	0.921	0.101	0.0353	
Samatha	Matthew Halsall	contemporary jazz,dark jazz,fourth world,indie jazz,jazz brass,nu jazz	0.924	0.451	0.0373	0.926	0.107	0.034	
Prelude No.20 in C minor	Chris Botti	adult standards,jazz christmas,smooth jazz,vocal jazz	0.984	0.155	0.067	0.939	0.0876	0.0383	
White Eyes	The Kilimanjaro Darkjazz Ensemble	dark jazz,fourth world	0.777	0.219	0.184	0.911	0.075	0.0386	
Dear Kathy	Benny Golson	avant-garde jazz,bebop,big band,contemporary post-bop,cool jazz,hard bop,jazz,jazz funk,soul jazz,stride	0.984	0.486	0.0295	0.911	0.066	0.0404	
Karin	Bohren & Der Club Of Gore	ambient,dark jazz,drone,fourth world	0.9	0.555	0.0407	0.919	0.103	0.0353	
Prowler	Bohren & Der Club Of Gore	ambient,dark jazz,drone,fourth world	0.789	0.286	0.0977	0.921	0.101	0.0366	
Constant Fear	Bohren & Der Club Of Gore	ambient,dark jazz,drone,fourth world	0.959	0.411	0.122	0.954	0.125	0.0324	
Maximum Black	Bohren & Der Club Of Gore	ambient,dark jazz,drone,fourth world	0.842	0.324	0.153	0.975	0.108	0.0386	
Ganz Leise Kommt Die Nacht	Bohren & Der Club Of Gore	ambient,dark jazz,drone,fourth world	0.961	0.151	0.0634	0.922	0.0873	0.0383	
Unrasiert	Bohren & Der Club Of Gore	ambient,dark jazz,drone,fourth world	0.867	0.175	0.0721	0.938	0.1	0.0353	
Still Am Tresen	Bohren & Der Club Of Gore	ambient,dark jazz,drone,fourth world	0.836	0.26	0.172	0.929	0.11	0.0314	
Black City Skyline	Bohren & Der Club Of Gore	ambient,dark jazz,drone,fourth world	0.858	0.235	0.0758	0.918	0.118	0.0321	
Kleiner Finger	Bohren & Der Club Of Gore	ambient,dark jazz,drone,fourth world	0.926	0.382	0.011	0.728	0.113	0.0544	
Zombies Never Die	Bohren & Der Club Of Gore	ambient,dark jazz,drone,fourth world	0.776	0.0797	0.13	0.924	0.108	0.0344	
Daumen	Bohren & Der Club Of Gore	ambient,dark jazz,drone,fourth world	0.994	0.553	0.000235	0.957	0.106	0.342	
Catch My Heart	Bohren & Der Club Of Gore	ambient,dark jazz,drone,fourth world	0.946	0.355	0.146	0.0712	0.165	0.035	
Mitleid Lady	Bohren & Der Club Of Gore	ambient,dark jazz,drone,fourth world	0.857	0.109	0.0016	0.926	0.112	0.0431	
Der Angler	Bohren & Der Club Of Gore	ambient,dark jazz,drone,fourth world	0.841	0.31	0.0941	0.836	0.105	0.0395	
Schwarze Biene (Black Maja)	Bohren & Der Club Of Gore	ambient,dark jazz,drone,fourth world	0.966	0.267	0.00636	0.936	0.0769	0.0611	
Titel 2	Bohren & Der Club Of Gore	ambient,dark jazz,drone,fourth world	0.952	0.592	0.0403	0.939	0.11	0.0421	
Dandys Lungern Durch Die Nacht	Bohren & Der Club Of Gore	ambient,dark jazz,drone,fourth world	0.776	0.323	0.0339	0.901	0.111	0.0308	
Karin	Bohren & Der Club Of Gore	ambient,dark jazz,drone,fourth world	0.9	0.555	0.0407	0.919	0.103	0.0353	
Prowler	Bohren & Der Club Of Gore	ambient,dark jazz,drone,fourth world	0.789	0.286	0.0977	0.921	0.101	0.0366	
Constant Fear	Bohren & Der Club Of Gore	ambient,dark jazz,drone,fourth world	0.959	0.411	0.122	0.954	0.125	0.0324	
Maximum Black	Bohren & Der Club Of Gore	ambient,dark jazz,drone,fourth world	0.842	0.324	0.153	0.975	0.108	0.0386	
Ganz Leise Kommt Die Nacht	Bohren & Der Club Of Gore	ambient,dark jazz,drone,fourth world	0.961	0.151	0.0634	0.922	0.0873	0.0383	
Unrasiert	Bohren & Der Club Of Gore	ambient,dark jazz,drone,fourth world	0.867	0.175	0.0721	0.938	0.1	0.0353	
Still Am Tresen	Bohren & Der Club Of Gore	ambient,dark jazz,drone,fourth world	0.836	0.26	0.172	0.929	0.11	0.0314	
Black City Skyline	Bohren & Der Club Of Gore	ambient,dark jazz,drone,fourth world	0.858	0.235	0.0758	0.918	0.118	0.0321	
Kleiner Finger	Bohren & Der Club Of Gore	ambient,dark jazz,drone,fourth world	0.926	0.382	0.011	0.728	0.113	0.0544	
Zombies Never Die	Bohren & Der Club Of Gore	ambient,dark jazz,drone,fourth world	0.776	0.0797	0.13	0.924	0.108	0.0344	
Daumen	Bohren & Der Club Of Gore	ambient,dark jazz,drone,fourth world	0.994	0.553	0.000235	0.957	0.106	0.342	
Catch My Heart	Bohren & Der Club Of Gore	ambient,dark jazz,drone,fourth world	0.946	0.355	0.146	0.0712	0.165	0.035	
Mitleid Lady	Bohren & Der Club Of Gore	ambient,dark jazz,drone,fourth world	0.857	0.109	0.0016	0.926	0.112	0.0431	
Der Angler	Bohren & Der Club Of Gore	ambient,dark jazz,drone,fourth world	0.841	0.31	0.0941	0.836	0.105	0.0395	
Schwarze Biene (Black Maja)	Bohren & Der Club Of Gore	ambient,dark jazz,drone,fourth world	0.966	0.267	0.00636	0.936	0.0769	0.0611	
Titel 2	Bohren & Der Club Of Gore	ambient,dark jazz,drone,fourth world	0.952	0.592	0.0403	0.939	0.11	0.0421	
Dandys Lungern Durch Die Nacht	Bohren & Der Club Of Gore	ambient,dark jazz,drone,fourth world	0.776	0.323	0.0339	0.901	0.111	0.0308	
