Song Name 	 Artist Name 	 Genres 	 Acousticness 	 Danceability 	 Energy 	Instrumentalness 	 Liveness 	 Speechiness 
White Noise / Red Meat (Radio Edit)	Dada Life	big room,brostep,complextro,deep big room,edm,electro house,electronic trap,moombahton,progressive electro house,progressive house	0.000579	0.699	0.525	0.762	0.161	0.0622	
Kick Out The Epic Motherf**ker - Vocal Version	Dada Life	big room,brostep,complextro,deep big room,edm,electro house,electronic trap,moombahton,progressive electro house,progressive house	0.0021	0.524	0.866	0.000109	0.117	0.0836	
A Zip & A Double Cup (Remix) (feat. Tity Boi)	Juicy J	crunk,dirty south rap,dwn trap,gangster rap,hip hop,memphis hip hop,pop rap,rap,southern hip hop,trap music	0.00243	0.878	0.752	0	0.196	0.263	
Redline - Radio Edit	Wolfgang Gartner	big room,brostep,catstep,complextro,deep big room,edm,electro house,electronic trap,house,moombahton,progressive electro house,progressive house	0.00673	0.563	0.848	0.00385	0.38	0.0515	
Drift - Original Club Mix	Funkagenda	big room,edm,funky tech house,progressive house,tech house	0.000398	0.802	0.591	0.693	0.0747	0.0799	
I Will Follow You Into The Dark	Death Cab for Cutie	alternative rock,folk christmas,folk-pop,indie christmas,indie folk,indie pop,indie rock,lo-fi,modern rock,neo mellow,pop rock,stomp and holler	0.924	0.517	0.206	0	0.118	0.0421	
Howlin' For You	The Black Keys	alternative rock,blues-rock,classic rock,garage rock,indie rock,modern blues,modern rock,punk blues,rock	0.028	0.705	0.735	0.0783	0.112	0.0931	
Wonderwall	Ryan Adams	alternative country,folk-pop,indie folk,mellow gold,neo mellow,new americana,pop rock,roots rock,singer-songwriter,stomp and holler	0.842	0.318	0.218	0.0036	0.0842	0.0342	
I Will Be Here [Wolfgang Gartner Remix]	Tiësto	big room,brostep,edm,electro house,house,trance,tropical house	0.018	0.592	0.741	2.2e-05	0.0722	0.0577	
Step One Two - Tommy Trash Remix	Kaskade	big room,brostep,chicago house,edm,electro house,electronic trap,house,progressive electro house,progressive house,tropical house,vocal house	0.0309	0.77	0.587	0.591	0.0932	0.088	
Promises	NERO	brostep,edm,electro house,electronic trap	4.95e-05	0.491	0.944	0.00427	0.616	0.0648	
HR 8938 Cephei - Original Mix	deadmau5	big room,edm,electro house,progressive house	0.0469	0.694	0.659	0.871	0.0964	0.0362	
Seek Bromance (Avicii Vocal Edit) - Avicii Vocal Edit	Tim Berg	big room,edm,electro house,progressive electro house	0.0896	0.49	0.811	0	0.0898	0.044	
Escape Me - Avicii Remix	Tiësto feat. C.C. Sheffield	none 	0.0229	0.26	0.835	0.292	0.0417	0.0511	
Your Hand In Mine	Explosions In The Sky	compositional ambient,melancholia,post rock	0.103	0.279	0.472	0.874	0.063	0.0295	
Drift	Funkagenda	big room,edm,funky tech house,progressive house,tech house	0.000398	0.802	0.591	0.693	0.0747	0.0799	
Mind If I Cut In?	Hans Zimmer	soundtrack	0.811	0.292	0.0157	0.0253	0.108	0.0409	
Teenage Crime - Original	Adrian Lux	big room,edm,electro house,progressive electro house	0.0017	0.683	0.678	0.805	0.308	0.0657	
Underneath - Radio Mix	DJ Antoine	dance pop,edm,pop house,tropical house	0.00189	0.645	0.777	0	0.146	0.0357	
Summertime	Scarlett Johansson	hollywood	0.839	0.282	0.0395	0	0.127	0.0422	
Fire	Jimi Hendrix	album rock,blues-rock,classic funk rock,classic rock,hard rock,psychedelic rock,rock,roots rock	0.00189	0.476	0.942	0.0331	0.346	0.111	
All Along the Watchtower	Jimi Hendrix	album rock,blues-rock,classic funk rock,classic rock,hard rock,psychedelic rock,rock,roots rock	0.00282	0.429	0.812	2.44e-05	0.0882	0.0657	
This Time (Klaas Remix)	DJ Antoine	dance pop,edm,pop house,tropical house	0.000207	0.801	0.702	0.0103	0.33	0.11	
A Dark Knight	Hans Zimmer	soundtrack	0.492	0.277	0.182	0.782	0.125	0.034	
Unison	Porter Robinson	big room,brostep,catstep,complextro,edm,electro house,electronic trap,progressive electro house,tropical house	0.00131	0.783	0.453	0.893	0.104	0.0648	
Hawaiian Air	Friendly Fires	alternative dance,dance-punk,electronic,indie pop,indie rock,indietronica,modern rock,new rave,shimmer pop,synthpop	0.00429	0.529	0.801	1.53e-05	0.0907	0.0735	
Everyway	Circa Survive	alternative emo,dreamo,emo,modern rock,pop punk,progressive post-hardcore,screamo	0.000348	0.285	0.732	0.000216	0.0716	0.0571	
Skeleton Boy (7" Single)	Friendly Fires	alternative dance,dance-punk,electronic,indie pop,indie rock,indietronica,modern rock,new rave,shimmer pop,synthpop	0.0159	0.642	0.854	2.43e-05	0.119	0.0566	
Islands	The xx	alternative dance,downtempo,dream pop,indietronica,synthpop	0.74	0.871	0.472	0.286	0.145	0.0756	
Intro	The xx	alternative dance,downtempo,dream pop,indietronica,synthpop	0.459	0.617	0.778	0.925	0.128	0.027	
Sunset	The xx	alternative dance,downtempo,dream pop,indietronica,synthpop	0.557	0.835	0.182	0.456	0.113	0.0762	
Mr. Brightside	The Killers	alternative rock,indie christmas,indie pop,indie rock,modern rock,permanent wave,pop christmas,rock,vegas indie	0.00108	0.33	0.936	0	0.0926	0.0917	
Blue Cassette	Friendly Fires	alternative dance,dance-punk,electronic,indie pop,indie rock,indietronica,modern rock,new rave,shimmer pop,synthpop	0.000337	0.175	0.937	0.000217	0.207	0.358	
Pala	Friendly Fires	alternative dance,dance-punk,electronic,indie pop,indie rock,indietronica,modern rock,new rave,shimmer pop,synthpop	0.00923	0.544	0.527	8.11e-05	0.261	0.0366	
The Girl	City and Colour	folk-pop,indie folk,neo mellow	0.837	0.398	0.553	8.62e-05	0.134	0.0354	
Sunshine	Atmosphere	alternative hip hop,hip hop,pop rap	0.147	0.852	0.572	2.62e-06	0.186	0.149	
Reunion	The xx	alternative dance,downtempo,dream pop,indietronica,synthpop	0.839	0.692	0.367	0.685	0.113	0.0662	
Must Be The Feeling	NERO	brostep,edm,electro house,electronic trap	0.00421	0.616	0.797	3.48e-05	0.646	0.103	
American Daydream	Electric Guest	alternative dance,indie pop,indie poptimism,indie psych-rock,indie rock,indietronica,la indie,modern rock,shimmer pop,synthpop	0.164	0.651	0.488	0.00197	0.105	0.0473	
This Head I Hold	Electric Guest	alternative dance,indie pop,indie poptimism,indie psych-rock,indie rock,indietronica,la indie,modern rock,shimmer pop,synthpop	0.0232	0.566	0.875	0.0209	0.26	0.0413	
Awake	Electric Guest	alternative dance,indie pop,indie poptimism,indie psych-rock,indie rock,indietronica,la indie,modern rock,shimmer pop,synthpop	0.0271	0.572	0.587	0.0359	0.115	0.0346	
Subterranean Homesick Alien	Radiohead	alternative rock,indie rock,melancholia,modern rock,permanent wave,rock	0.0498	0.316	0.592	0.00139	0.103	0.0296	
The Great Hendowski	Of Mice & Men	alternative metal,emo,melodic metalcore,metalcore,nu metal,pop punk,post-grunge,post-screamo,rap metal,screamo	1.49e-05	0.401	0.986	3.25e-05	0.283	0.151	
Cough Syrup	Young the Giant	indie pop,indie poptimism,indie rock,indietronica,la indie,modern rock,shimmer pop,stomp and holler	0.0343	0.534	0.721	6.24e-06	0.115	0.0417	
Under The Gun	Electric Guest	alternative dance,indie pop,indie poptimism,indie psych-rock,indie rock,indietronica,la indie,modern rock,shimmer pop,synthpop	0.0551	0.876	0.67	0.0202	0.144	0.0355	
Troubleman	Electric Guest	alternative dance,indie pop,indie poptimism,indie psych-rock,indie rock,indietronica,la indie,modern rock,shimmer pop,synthpop	0.251	0.465	0.526	0.0165	0.15	0.0318	
Skyfall	GMPresents & Jocelyn Scofield	fake	0.95	0.482	0.404	8.75e-06	0.127	0.0284	
Shake Me Down	Cage The Elephant	alternative rock,garage rock,indie pop,indie rock,modern rock,punk blues	0.00463	0.457	0.613	0.000441	0.0711	0.0295	
Young Folks	Peter Bjorn and John	alternative dance,dance-punk,garage rock,indie pop,indie rock,indietronica,modern rock,neo-psychedelic,new rave,swedish alternative rock,swedish indie rock,synthpop	0.0172	0.701	0.815	0.000627	0.0969	0.038	
Everyday - Netsky Remix	Rusko	bassline,brostep,dubstep,edm,electro house,electronic trap,moombahton	0.000335	0.349	0.935	0.802	0.333	0.0536	
The Bait	Electric Guest	alternative dance,indie pop,indie poptimism,indie psych-rock,indie rock,indietronica,la indie,modern rock,shimmer pop,synthpop	0.00117	0.785	0.614	0.0302	0.0999	0.0289	
My Body	Young the Giant	indie pop,indie poptimism,indie rock,indietronica,la indie,modern rock,shimmer pop,stomp and holler	0.0011	0.488	0.909	1.02e-05	0.456	0.0929	
I Got	Young the Giant	indie pop,indie poptimism,indie rock,indietronica,la indie,modern rock,shimmer pop,stomp and holler	0.00764	0.377	0.903	9.74e-05	0.109	0.0739	
Apartment	Young the Giant	indie pop,indie poptimism,indie rock,indietronica,la indie,modern rock,shimmer pop,stomp and holler	0.00686	0.57	0.733	0.000131	0.21	0.0306	
Garands	Young the Giant	indie pop,indie poptimism,indie rock,indietronica,la indie,modern rock,shimmer pop,stomp and holler	0.0199	0.478	0.708	0.0361	0.109	0.0436	
St. Walker	Young the Giant	indie pop,indie poptimism,indie rock,indietronica,la indie,modern rock,shimmer pop,stomp and holler	0.00384	0.26	0.879	0	0.32	0.0497	
Everything - Radio Edit	Ron Reeser	none 	0.207	0.742	0.876	0	0.338	0.0641	
Typhoon	Young the Giant	indie pop,indie poptimism,indie rock,indietronica,la indie,modern rock,shimmer pop,stomp and holler	0.605	0.469	0.38	0	0.108	0.0268	
12 Fingers	Young the Giant	indie pop,indie poptimism,indie rock,indietronica,la indie,modern rock,shimmer pop,stomp and holler	0.00461	0.5	0.7	0	0.317	0.0324	
Stare Into The Sun	Graffiti6	modern rock	0.0168	0.644	0.726	0.00261	0.29	0.0577	
Free	Graffiti6	modern rock	0.0104	0.656	0.7	0.00163	0.341	0.0422	
Little Talks	Of Monsters and Men	folk-pop,icelandic pop,indie folk,indie pop,metropopolis,modern rock,pop,stomp and holler	0.0234	0.455	0.786	0	0.145	0.0338	
L.O.V.	Fitz and The Tantrums	indie pop,indie poptimism,indietronica,la indie,modern rock,pop	0.285	0.728	0.887	0.0994	0.0527	0.0317	
Hang Me Up To Dry	Cold War Kids	garage rock,indie folk,indie pop,indie rock,indietronica,la indie,modern rock,piano rock,stomp and holler	0.0265	0.519	0.92	0.000799	0.367	0.033	
Love Interruption	Jack White	alternative rock,blues-rock,garage rock,indie rock,modern blues,modern rock,punk blues,rock	0.645	0.582	0.365	1.03e-06	0.147	0.0388	
Sixteen Saltines	Jack White	alternative rock,blues-rock,garage rock,indie rock,modern blues,modern rock,punk blues,rock	0.0136	0.603	0.868	7.04e-06	0.0767	0.0887	
Another Way to Die	Jack White	alternative rock,blues-rock,garage rock,indie rock,modern blues,modern rock,punk blues,rock	0.0382	0.541	0.772	8.48e-05	0.0796	0.136	
Blunderbuss	Jack White	alternative rock,blues-rock,garage rock,indie rock,modern blues,modern rock,punk blues,rock	0.541	0.38	0.395	0.0216	0.0852	0.0388	
Dear Mr. President	Fitz and The Tantrums	indie pop,indie poptimism,indietronica,la indie,modern rock,pop	0.471	0.682	0.835	0.023	0.0853	0.0319	
MoneyGrabber	Fitz and The Tantrums	indie pop,indie poptimism,indietronica,la indie,modern rock,pop	0.0803	0.699	0.881	8.86e-06	0.428	0.0303	
Barton Hollow	The Civil Wars	acoustic pop,folk christmas,folk-pop,indie christmas,indie folk,indie pop,indiecoustica,neo mellow,new americana,pop,stomp and holler,viral pop	0.123	0.403	0.659	0	0.0857	0.0303	
Walking On A Dream	Empire of the Sun	alternative dance,australian dance,dance-punk,indie pop,indietronica,new rave,synthpop	0.245	0.87	0.699	6.76e-06	0.0588	0.0459	
E=MC2 feat. Common	J Dilla	alternative hip hop,chillhop,detroit hip hop,escape room,hip hop,indie r&b,neo soul,underground hip hop	0.0208	0.888	0.779	0	0.593	0.272	
I'm Shakin'	Jack White	alternative rock,blues-rock,garage rock,indie rock,modern blues,modern rock,punk blues,rock	0.0142	0.586	0.782	0.00102	0.0673	0.235	
Find a Way	A Tribe Called Quest	alternative hip hop,east coast hip hop,gangster rap,hardcore hip hop,hip hop,pop rap,rap,southern hip hop	0.0329	0.765	0.626	0	0.385	0.435	
